City,CityID,Area,Address,TransDate,Year,Type,Price,lat,lng
臺北市,A,大安區,臺北市大安區瑞安街208巷61弄1~30號,2016/11/18,2016,華廈(10層含以下有電梯),812757,25.0308487,121.5407072
臺北市,A,士林區,臺北市士林區中山北路六段754巷1~30號,2016/11/26,2016,公寓(5樓含以下無電梯),490000,25.1026064,121.5251309
臺北市,A,北投區,臺北市北投區尊賢街242巷1~30號,2016/11/21,2016,公寓(5樓含以下無電梯),499666,25.1169601,121.5075291
臺北市,A,北投區,臺北市北投區中和街502巷13弄1~30號,2016/10/30,2016,公寓(5樓含以下無電梯),268036,25.147411,121.494273
臺北市,A,北投區,臺北市北投區石牌路二段315巷10弄1~30號,2016/11/13,2016,華廈(10層含以下有電梯),426185,25.1224319,121.5226202
臺北市,A,北投區,臺北市北投區溫泉路銀光巷4弄1~30號,2016/11/7,2016,公寓(5樓含以下無電梯),189990,25.136677,121.5131703
臺北市,A,士林區,臺北市士林區中正路212巷1弄1~30號,2016/11/23,2016,公寓(5樓含以下無電梯),635788,25.0958165,121.5261093
臺北市,A,北投區,臺北市北投區中和街474巷2弄1~30號,2016/11/14,2016,公寓(5樓含以下無電梯),421656,25.1455452,121.4954115
臺北市,A,北投區,臺北市北投區榮華一路4巷1~30號,2016/11/10,2016,華廈(10層含以下有電梯),571808,25.1123577,121.5240339
臺北市,A,北投區,臺北市北投區公?路255巷31~60號,2016/7/13,2016,透天厝,1463286,25.1247284,121.5597787
臺北市,A,北投區,臺北市北投區石牌路二段315巷31~60號,2016/10/29,2016,華廈(10層含以下有電梯),542562,25.1160094,121.5154746
臺北市,A,北投區,臺北市北投區奇岩路1~30號,2016/11/14,2016,華廈(10層含以下有電梯),319025,25.134659,121.507197
臺北市,A,北投區,臺北市北投區泉源路31~60號,2016/11/9,2016,套房(1房1廳1衛),204916,25.136727,121.50415
臺北市,A,北投區,臺北市北投區中山北路七段219巷3弄271~300號,2016/11/15,2016,華廈(10層含以下有電梯),451031,25.1281062,121.5323757
臺北市,A,中正區,臺北市中正區信義路二段17巷1~30號,2016/11/24,2016,公寓(5樓含以下無電梯),570066,25.0356238,121.5245843
臺北市,A,中山區,臺北市中山區北安路554巷1~30號,2016/10/10,2016,住宅大樓(11層含以上有電梯),896502,25.0804056,121.5483199
